,Entry Date,Exit Date,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss
34,2022-12-21 05:00:00+00:00,2022-12-22 05:00:00+00:00,135.45,132.23,135.45,132.23,-3.219999999999999
35,2022-12-29 05:00:00+00:00,2023-01-03 05:00:00+00:00,129.61,125.07,129.61,125.07,-4.5400000000000205
36,2023-01-04 05:00:00+00:00,2023-01-05 05:00:00+00:00,126.36,125.02,126.36,125.02,-1.3400000000000034
37,2023-01-06 05:00:00+00:00,2023-01-12 05:00:00+00:00,129.62,133.41,129.62,133.41,3.789999999999992
38,2023-01-13 05:00:00+00:00,2023-01-18 05:00:00+00:00,134.76,135.21,134.76,135.21,0.45000000000001705
39,2023-01-19 05:00:00+00:00,2023-01-25 05:00:00+00:00,135.27,141.86,135.27,141.86,6.590000000000003
40,2023-01-26 05:00:00+00:00,2023-01-30 05:00:00+00:00,143.96,143.0,143.96,143.0,-0.960000000000008
41,2023-01-31 05:00:00+00:00,2023-02-06 05:00:00+00:00,144.29,151.73,144.29,151.73,7.439999999999998
42,2023-02-07 05:00:00+00:00,2023-02-08 05:00:00+00:00,154.65,151.92,154.65,151.92,-2.730000000000018
43,2023-02-10 05:00:00+00:00,2023-02-14 05:00:00+00:00,151.01,153.2,151.01,153.2,2.1899999999999977
44,2023-02-15 05:00:00+00:00,2023-02-16 05:00:00+00:00,155.33,153.71,155.33,153.71,-1.6200000000000045
45,2023-02-22 05:00:00+00:00,2023-02-24 05:00:00+00:00,148.91,146.71,148.91,146.71,-2.1999999999999886
46,2023-02-27 05:00:00+00:00,2023-02-28 05:00:00+00:00,147.92,147.41,147.92,147.41,-0.5099999999999909
47,2023-03-02 05:00:00+00:00,2023-03-07 05:00:00+00:00,145.91,151.6,145.91,151.6,5.689999999999998
48,2023-03-08 05:00:00+00:00,2023-03-09 05:00:00+00:00,152.87,150.59,152.87,150.59,-2.280000000000001
49,2023-03-13 04:00:00+00:00,2023-03-17 04:00:00+00:00,150.47,155.0,150.47,155.0,4.530000000000001
50,2023-03-20 04:00:00+00:00,2023-03-22 04:00:00+00:00,157.4,157.83,157.4,157.83,0.4300000000000068
51,2023-03-23 04:00:00+00:00,2023-03-27 04:00:00+00:00,158.93,158.28,158.93,158.28,-0.6500000000000057
52,2023-03-29 04:00:00+00:00,2023-04-04 04:00:00+00:00,160.77,165.63,160.77,165.63,4.859999999999985
53,2023-04-06 04:00:00+00:00,2023-04-10 04:00:00+00:00,164.66,162.03,164.66,162.03,-2.6299999999999955
54,2023-04-13 04:00:00+00:00,2023-04-14 04:00:00+00:00,165.56,165.21,165.56,165.21,-0.3499999999999943
55,2023-04-17 04:00:00+00:00,2023-04-20 04:00:00+00:00,165.23,166.65,165.23,166.65,1.420000000000016
56,2023-04-24 04:00:00+00:00,2023-04-25 04:00:00+00:00,165.33,163.77,165.33,163.77,-1.5600000000000023
57,2023-04-27 04:00:00+00:00,2023-05-01 04:00:00+00:00,168.41,169.59,168.41,169.59,1.1800000000000068
58,2023-05-05 04:00:00+00:00,2023-05-08 04:00:00+00:00,173.62,173.5,173.62,173.5,-0.12000000000000455
59,2023-05-10 04:00:00+00:00,2023-05-12 04:00:00+00:00,173.555,172.57,173.555,172.57,-0.9850000000000136
